playoutIterationLimit: 0, average score: 8970.0, experiment time: 123942
playoutIterationLimit: 1, average score: 1900.0, experiment time: 36985
playoutIterationLimit: 2, average score: 2650.0, experiment time: 50471
playoutIterationLimit: 3, average score: 1850.0, experiment time: 27126
playoutIterationLimit: 4, average score: 2540.0, experiment time: 57990
playoutIterationLimit: 5, average score: 2780.0, experiment time: 49710
playoutIterationLimit: 6, average score: 3020.0, experiment time: 43501
playoutIterationLimit: 7, average score: 2680.0, experiment time: 39637
playoutIterationLimit: 8, average score: 2250.0, experiment time: 46236
playoutIterationLimit: 9, average score: 3180.0, experiment time: 52871
playoutIterationLimit: 10, average score: 2360.0, experiment time: 56682
playoutIterationLimit: 11, average score: 3360.0, experiment time: 50523
playoutIterationLimit: 12, average score: 3230.0, experiment time: 57511
playoutIterationLimit: 13, average score: 1300.0, experiment time: 34331
playoutIterationLimit: 14, average score: 8520.0, experiment time: 102200
playoutIterationLimit: 15, average score: 2050.0, experiment time: 41239
playoutIterationLimit: 16, average score: 1400.0, experiment time: 41753
playoutIterationLimit: 17, average score: 2230.0, experiment time: 38014
playoutIterationLimit: 18, average score: 2200.0, experiment time: 45630
playoutIterationLimit: 19, average score: 2880.0, experiment time: 39638
playoutIterationLimit: 20, average score: 2580.0, experiment time: 50398
playoutIterationLimit: 21, average score: 3790.0, experiment time: 53225
playoutIterationLimit: 22, average score: 1650.0, experiment time: 31020
playoutIterationLimit: 23, average score: 5320.0, experiment time: 45732
playoutIterationLimit: 24, average score: 2780.0, experiment time: 49702
playoutIterationLimit: 25, average score: 5430.0, experiment time: 46278
playoutIterationLimit: 26, average score: 1920.0, experiment time: 37473
playoutIterationLimit: 27, average score: 3480.0, experiment time: 52842
playoutIterationLimit: 28, average score: 2820.0, experiment time: 47010
playoutIterationLimit: 29, average score: 2580.0, experiment time: 52513
playoutIterationLimit: 30, average score: 3240.0, experiment time: 41617
playoutIterationLimit: 31, average score: 1590.0, experiment time: 36430
playoutIterationLimit: 32, average score: 2580.0, experiment time: 45970
playoutIterationLimit: 33, average score: 1900.0, experiment time: 40740
playoutIterationLimit: 34, average score: 1770.0, experiment time: 35239
playoutIterationLimit: 35, average score: 1100.0, experiment time: 23850
playoutIterationLimit: 36, average score: 2920.0, experiment time: 65401
playoutIterationLimit: 37, average score: 2110.0, experiment time: 53860
playoutIterationLimit: 38, average score: 1670.0, experiment time: 38315
playoutIterationLimit: 39, average score: 750.0, experiment time: 15169
playoutIterationLimit: 40, average score: 1470.0, experiment time: 29234
playoutIterationLimit: 41, average score: 940.0, experiment time: 17354
playoutIterationLimit: 42, average score: 2650.0, experiment time: 54436
playoutIterationLimit: 43, average score: 4160.0, experiment time: 67631
playoutIterationLimit: 44, average score: 2390.0, experiment time: 72358
playoutIterationLimit: 45, average score: 7160.0, experiment time: 82934
playoutIterationLimit: 46, average score: 7880.0, experiment time: 101352
playoutIterationLimit: 47, average score: 2210.0, experiment time: 33968
playoutIterationLimit: 48, average score: 2110.0, experiment time: 42305
playoutIterationLimit: 49, average score: 3210.0, experiment time: 89118
playoutIterationLimit: 50, average score: 2760.0, experiment time: 54265
playoutIterationLimit: 51, average score: 3820.0, experiment time: 80267
playoutIterationLimit: 52, average score: 1440.0, experiment time: 30426
playoutIterationLimit: 53, average score: 2460.0, experiment time: 61308
playoutIterationLimit: 54, average score: 3780.0, experiment time: 57844
playoutIterationLimit: 55, average score: 2660.0, experiment time: 61954
playoutIterationLimit: 56, average score: 2560.0, experiment time: 59520
