playoutIterationLimit: 0, average score: 1340.0, experiment time: 28488
playoutIterationLimit: 1, average score: 1630.0, experiment time: 21412
playoutIterationLimit: 2, average score: 1830.0, experiment time: 36555
playoutIterationLimit: 3, average score: 950.0, experiment time: 17676
playoutIterationLimit: 4, average score: 4610.0, experiment time: 36900
playoutIterationLimit: 5, average score: 3750.0, experiment time: 64599
playoutIterationLimit: 6, average score: 2510.0, experiment time: 23220
playoutIterationLimit: 7, average score: 6350.0, experiment time: 49276
playoutIterationLimit: 8, average score: 5410.0, experiment time: 38856
playoutIterationLimit: 9, average score: 3360.0, experiment time: 61421
playoutIterationLimit: 10, average score: 4380.0, experiment time: 56697
playoutIterationLimit: 11, average score: 4180.0, experiment time: 43109
playoutIterationLimit: 12, average score: 7150.0, experiment time: 105915
playoutIterationLimit: 13, average score: 3580.0, experiment time: 51292
playoutIterationLimit: 14, average score: 1840.0, experiment time: 22782
playoutIterationLimit: 15, average score: 3760.0, experiment time: 42126
playoutIterationLimit: 16, average score: 1350.0, experiment time: 26484
playoutIterationLimit: 17, average score: 2380.0, experiment time: 32516
playoutIterationLimit: 18, average score: 3600.0, experiment time: 48881
playoutIterationLimit: 19, average score: 7720.0, experiment time: 97150
playoutIterationLimit: 20, average score: 2040.0, experiment time: 50254
playoutIterationLimit: 21, average score: 3570.0, experiment time: 42201
playoutIterationLimit: 22, average score: 1740.0, experiment time: 27269
playoutIterationLimit: 23, average score: 3690.0, experiment time: 33221
playoutIterationLimit: 24, average score: 2940.0, experiment time: 46893
playoutIterationLimit: 25, average score: 2940.0, experiment time: 47902
playoutIterationLimit: 26, average score: 3220.0, experiment time: 39637
playoutIterationLimit: 27, average score: 3510.0, experiment time: 47820
playoutIterationLimit: 28, average score: 3730.0, experiment time: 43457
playoutIterationLimit: 29, average score: 5430.0, experiment time: 43503
playoutIterationLimit: 30, average score: 3110.0, experiment time: 33489
playoutIterationLimit: 31, average score: 2420.0, experiment time: 37414
playoutIterationLimit: 32, average score: 1370.0, experiment time: 29026
playoutIterationLimit: 33, average score: 3540.0, experiment time: 50760
playoutIterationLimit: 34, average score: 2150.0, experiment time: 39229
playoutIterationLimit: 35, average score: 4860.0, experiment time: 57926
playoutIterationLimit: 36, average score: 3840.0, experiment time: 36147
playoutIterationLimit: 37, average score: 2600.0, experiment time: 33453
playoutIterationLimit: 38, average score: 3940.0, experiment time: 36243
playoutIterationLimit: 39, average score: 3660.0, experiment time: 44831
playoutIterationLimit: 40, average score: 2350.0, experiment time: 43098
playoutIterationLimit: 41, average score: 4450.0, experiment time: 42109
playoutIterationLimit: 42, average score: 11020.0, experiment time: 119496
playoutIterationLimit: 43, average score: 4740.0, experiment time: 47448
playoutIterationLimit: 44, average score: 2260.0, experiment time: 39721
playoutIterationLimit: 45, average score: 1760.0, experiment time: 35350
playoutIterationLimit: 46, average score: 2400.0, experiment time: 45227
playoutIterationLimit: 47, average score: 3620.0, experiment time: 52872
playoutIterationLimit: 48, average score: 10770.0, experiment time: 159746
playoutIterationLimit: 49, average score: 2650.0, experiment time: 33024
playoutIterationLimit: 50, average score: 4100.0, experiment time: 57612
playoutIterationLimit: 51, average score: 6270.0, experiment time: 43810
playoutIterationLimit: 52, average score: 5980.0, experiment time: 77976
playoutIterationLimit: 53, average score: 4180.0, experiment time: 56805
playoutIterationLimit: 54, average score: 8410.0, experiment time: 98555
playoutIterationLimit: 55, average score: 7950.0, experiment time: 86788
playoutIterationLimit: 56, average score: 5140.0, experiment time: 146701
playoutIterationLimit: 57, average score: 6990.0, experiment time: 59572
playoutIterationLimit: 58, average score: 3680.0, experiment time: 40619
playoutIterationLimit: 59, average score: 3980.0, experiment time: 53205
playoutIterationLimit: 60, average score: 3720.0, experiment time: 39164
playoutIterationLimit: 61, average score: 5250.0, experiment time: 39867
playoutIterationLimit: 62, average score: 3210.0, experiment time: 31679
playoutIterationLimit: 63, average score: 5470.0, experiment time: 66088
playoutIterationLimit: 64, average score: 3920.0, experiment time: 37526
playoutIterationLimit: 65, average score: 10780.0, experiment time: 124742
playoutIterationLimit: 66, average score: 3310.0, experiment time: 49002
playoutIterationLimit: 67, average score: 4070.0, experiment time: 41027
playoutIterationLimit: 68, average score: 4690.0, experiment time: 40330
playoutIterationLimit: 69, average score: 5330.0, experiment time: 45774
playoutIterationLimit: 70, average score: 11800.0, experiment time: 113310
playoutIterationLimit: 71, average score: 4560.0, experiment time: 34480
playoutIterationLimit: 72, average score: 7160.0, experiment time: 98899
playoutIterationLimit: 73, average score: 3460.0, experiment time: 34095
playoutIterationLimit: 74, average score: 4420.0, experiment time: 35576
playoutIterationLimit: 75, average score: 4170.0, experiment time: 45534
playoutIterationLimit: 76, average score: 6940.0, experiment time: 59379
playoutIterationLimit: 77, average score: 2410.0, experiment time: 30424
playoutIterationLimit: 78, average score: 2680.0, experiment time: 41496
playoutIterationLimit: 79, average score: 13900.0, experiment time: 157606
playoutIterationLimit: 80, average score: 9690.0, experiment time: 90498
playoutIterationLimit: 81, average score: 5880.0, experiment time: 54779
playoutIterationLimit: 82, average score: 7750.0, experiment time: 78814
playoutIterationLimit: 83, average score: 3460.0, experiment time: 55536
playoutIterationLimit: 84, average score: 4250.0, experiment time: 41324
playoutIterationLimit: 85, average score: 4750.0, experiment time: 61025
playoutIterationLimit: 86, average score: 2060.0, experiment time: 29702
playoutIterationLimit: 87, average score: 2550.0, experiment time: 26066
playoutIterationLimit: 88, average score: 7380.0, experiment time: 95225
playoutIterationLimit: 89, average score: 2770.0, experiment time: 25272
playoutIterationLimit: 90, average score: 8890.0, experiment time: 112011
playoutIterationLimit: 91, average score: 7160.0, experiment time: 47930
playoutIterationLimit: 92, average score: 4040.0, experiment time: 34830
playoutIterationLimit: 93, average score: 8860.0, experiment time: 88484
playoutIterationLimit: 94, average score: 8780.0, experiment time: 70443
playoutIterationLimit: 95, average score: 4230.0, experiment time: 55506
playoutIterationLimit: 96, average score: 3920.0, experiment time: 67439
playoutIterationLimit: 97, average score: 8480.0, experiment time: 63820
playoutIterationLimit: 98, average score: 7630.0, experiment time: 84991
playoutIterationLimit: 99, average score: 2720.0, experiment time: 26134
playoutIterationLimit: 100, average score: 5950.0, experiment time: 60467
playoutIterationLimit: 101, average score: 4540.0, experiment time: 62356
playoutIterationLimit: 102, average score: 3200.0, experiment time: 35867
playoutIterationLimit: 103, average score: 4990.0, experiment time: 64483
playoutIterationLimit: 104, average score: 3250.0, experiment time: 35109
playoutIterationLimit: 105, average score: 7630.0, experiment time: 83722
playoutIterationLimit: 106, average score: 7110.0, experiment time: 95635
playoutIterationLimit: 107, average score: 7570.0, experiment time: 140971
playoutIterationLimit: 108, average score: 8300.0, experiment time: 96899
playoutIterationLimit: 109, average score: 5520.0, experiment time: 50118
playoutIterationLimit: 110, average score: 1090.0, experiment time: 20582
playoutIterationLimit: 111, average score: 4340.0, experiment time: 53017
playoutIterationLimit: 112, average score: 5320.0, experiment time: 48710
playoutIterationLimit: 113, average score: 7130.0, experiment time: 52981
playoutIterationLimit: 114, average score: 4840.0, experiment time: 50157
playoutIterationLimit: 115, average score: 5660.0, experiment time: 55797
playoutIterationLimit: 116, average score: 5800.0, experiment time: 69559
playoutIterationLimit: 117, average score: 5190.0, experiment time: 37618
playoutIterationLimit: 118, average score: 7300.0, experiment time: 85626
playoutIterationLimit: 119, average score: 3240.0, experiment time: 36283
playoutIterationLimit: 120, average score: 9480.0, experiment time: 108965
playoutIterationLimit: 121, average score: 5770.0, experiment time: 57024
playoutIterationLimit: 122, average score: 3680.0, experiment time: 31539
playoutIterationLimit: 123, average score: 14630.0, experiment time: 116710
playoutIterationLimit: 124, average score: 14250.0, experiment time: 169552
playoutIterationLimit: 125, average score: 3220.0, experiment time: 31460
playoutIterationLimit: 126, average score: 5650.0, experiment time: 54159
