Generation: 0	 AvgFitness: 1413.56	 MinFitness: 0.0	 MaxFitness: 7750.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 3	 MAX_POWER_PILL_DISTANCE: 75	 POWER_PILL_WALK_AWAY_DISTANCE: 19
	Best performing gene so far: MIN_GHOST_DISTANCE: 5	 MAX_POWER_PILL_DISTANCE: 33	 POWER_PILL_WALK_AWAY_DISTANCE: 26
Generation: 1	 AvgFitness: 1342.56	 MinFitness: 0.0	 MaxFitness: 9100.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 2	 MAX_POWER_PILL_DISTANCE: 62	 POWER_PILL_WALK_AWAY_DISTANCE: 66
	Best performing gene so far: MIN_GHOST_DISTANCE: 5	 MAX_POWER_PILL_DISTANCE: 35	 POWER_PILL_WALK_AWAY_DISTANCE: 9
Generation: 2	 AvgFitness: 1423.12	 MinFitness: 0.0	 MaxFitness: 11060.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 0	 MAX_POWER_PILL_DISTANCE: 75	 POWER_PILL_WALK_AWAY_DISTANCE: 61
	Best performing gene so far: MIN_GHOST_DISTANCE: 12	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 73
Generation: 3	 AvgFitness: 1298.4	 MinFitness: 0.0	 MaxFitness: 8720.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 1	 MAX_POWER_PILL_DISTANCE: 67	 POWER_PILL_WALK_AWAY_DISTANCE: 82
	Best performing gene so far: MIN_GHOST_DISTANCE: 12	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 73
Generation: 4	 AvgFitness: 1345.64	 MinFitness: 0.0	 MaxFitness: 8570.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 1	 MAX_POWER_PILL_DISTANCE: 81	 POWER_PILL_WALK_AWAY_DISTANCE: 48
	Best performing gene so far: MIN_GHOST_DISTANCE: 4	 MAX_POWER_PILL_DISTANCE: 14	 POWER_PILL_WALK_AWAY_DISTANCE: 67
Generation: 5	 AvgFitness: 1398.66	 MinFitness: 50.0	 MaxFitness: 8620.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 13	 MAX_POWER_PILL_DISTANCE: 56	 POWER_PILL_WALK_AWAY_DISTANCE: 37
	Best performing gene so far: MIN_GHOST_DISTANCE: 18	 MAX_POWER_PILL_DISTANCE: 48	 POWER_PILL_WALK_AWAY_DISTANCE: 63
Generation: 6	 AvgFitness: 1403.24	 MinFitness: 60.0	 MaxFitness: 10920.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 14	 MAX_POWER_PILL_DISTANCE: 58	 POWER_PILL_WALK_AWAY_DISTANCE: 16
	Best performing gene so far: MIN_GHOST_DISTANCE: 12	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 73
Generation: 7	 AvgFitness: 1458.02	 MinFitness: 40.0	 MaxFitness: 8990.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 21	 MAX_POWER_PILL_DISTANCE: 64	 POWER_PILL_WALK_AWAY_DISTANCE: 63
	Best performing gene so far: MIN_GHOST_DISTANCE: 5	 MAX_POWER_PILL_DISTANCE: 35	 POWER_PILL_WALK_AWAY_DISTANCE: 9
Generation: 8	 AvgFitness: 1454.94	 MinFitness: 100.0	 MaxFitness: 9220.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 2	 MAX_POWER_PILL_DISTANCE: 42	 POWER_PILL_WALK_AWAY_DISTANCE: 97
	Best performing gene so far: MIN_GHOST_DISTANCE: 12	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 73
Generation: 9	 AvgFitness: 1447.46	 MinFitness: 80.0	 MaxFitness: 9500.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 11	 MAX_POWER_PILL_DISTANCE: 51	 POWER_PILL_WALK_AWAY_DISTANCE: 56
	Best performing gene so far: MIN_GHOST_DISTANCE: 9	 MAX_POWER_PILL_DISTANCE: 29	 POWER_PILL_WALK_AWAY_DISTANCE: 6
Generation: 10	 AvgFitness: 1381.24	 MinFitness: 90.0	 MaxFitness: 8810.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 17	 MAX_POWER_PILL_DISTANCE: 51	 POWER_PILL_WALK_AWAY_DISTANCE: 89
	Best performing gene so far: MIN_GHOST_DISTANCE: 5	 MAX_POWER_PILL_DISTANCE: 35	 POWER_PILL_WALK_AWAY_DISTANCE: 9
Generation: 11	 AvgFitness: 1361.82	 MinFitness: 40.0	 MaxFitness: 9040.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 18	 MAX_POWER_PILL_DISTANCE: 63	 POWER_PILL_WALK_AWAY_DISTANCE: 73
	Best performing gene so far: MIN_GHOST_DISTANCE: 50	 MAX_POWER_PILL_DISTANCE: 6	 POWER_PILL_WALK_AWAY_DISTANCE: 70
Generation: 12	 AvgFitness: 1473.24	 MinFitness: 120.0	 MaxFitness: 8890.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 3	 MAX_POWER_PILL_DISTANCE: 40	 POWER_PILL_WALK_AWAY_DISTANCE: 57
	Best performing gene so far: MIN_GHOST_DISTANCE: 37	 MAX_POWER_PILL_DISTANCE: 52	 POWER_PILL_WALK_AWAY_DISTANCE: 84
Generation: 13	 AvgFitness: 1340.14	 MinFitness: 120.0	 MaxFitness: 9250.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 40	 MAX_POWER_PILL_DISTANCE: 44	 POWER_PILL_WALK_AWAY_DISTANCE: 39
	Best performing gene so far: MIN_GHOST_DISTANCE: 4	 MAX_POWER_PILL_DISTANCE: 28	 POWER_PILL_WALK_AWAY_DISTANCE: 17
Generation: 14	 AvgFitness: 1479.18	 MinFitness: 100.0	 MaxFitness: 9100.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 36	 MAX_POWER_PILL_DISTANCE: 46	 POWER_PILL_WALK_AWAY_DISTANCE: 78
	Best performing gene so far: MIN_GHOST_DISTANCE: 50	 MAX_POWER_PILL_DISTANCE: 6	 POWER_PILL_WALK_AWAY_DISTANCE: 70
Generation: 15	 AvgFitness: 1316.66	 MinFitness: 130.0	 MaxFitness: 9170.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 94	 MAX_POWER_PILL_DISTANCE: 78	 POWER_PILL_WALK_AWAY_DISTANCE: 26
	Best performing gene so far: MIN_GHOST_DISTANCE: 9	 MAX_POWER_PILL_DISTANCE: 19	 POWER_PILL_WALK_AWAY_DISTANCE: 68
Generation: 16	 AvgFitness: 1461.82	 MinFitness: 50.0	 MaxFitness: 11010.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 27	 MAX_POWER_PILL_DISTANCE: 63	 POWER_PILL_WALK_AWAY_DISTANCE: 9
	Best performing gene so far: MIN_GHOST_DISTANCE: 12	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 73
Generation: 17	 AvgFitness: 1408.66	 MinFitness: 130.0	 MaxFitness: 8170.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 98	 MAX_POWER_PILL_DISTANCE: 83	 POWER_PILL_WALK_AWAY_DISTANCE: 59
	Best performing gene so far: MIN_GHOST_DISTANCE: 4	 MAX_POWER_PILL_DISTANCE: 14	 POWER_PILL_WALK_AWAY_DISTANCE: 67
Generation: 18	 AvgFitness: 1432.24	 MinFitness: 130.0	 MaxFitness: 9480.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 72	 MAX_POWER_PILL_DISTANCE: 77	 POWER_PILL_WALK_AWAY_DISTANCE: 75
	Best performing gene so far: MIN_GHOST_DISTANCE: 9	 MAX_POWER_PILL_DISTANCE: 29	 POWER_PILL_WALK_AWAY_DISTANCE: 6
Generation: 19	 AvgFitness: 1477.28	 MinFitness: 130.0	 MaxFitness: 7490.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 71	 MAX_POWER_PILL_DISTANCE: 73	 POWER_PILL_WALK_AWAY_DISTANCE: 60
	Best performing gene so far: MIN_GHOST_DISTANCE: 23	 MAX_POWER_PILL_DISTANCE: 35	 POWER_PILL_WALK_AWAY_DISTANCE: 6
Generation: 20	 AvgFitness: 1504.68	 MinFitness: 120.0	 MaxFitness: 10190.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 34	 MAX_POWER_PILL_DISTANCE: 45	 POWER_PILL_WALK_AWAY_DISTANCE: 24
	Best performing gene so far: MIN_GHOST_DISTANCE: 4	 MAX_POWER_PILL_DISTANCE: 14	 POWER_PILL_WALK_AWAY_DISTANCE: 67
Generation: 21	 AvgFitness: 1407.9	 MinFitness: 130.0	 MaxFitness: 11060.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 69	 MAX_POWER_PILL_DISTANCE: 93	 POWER_PILL_WALK_AWAY_DISTANCE: 39
	Best performing gene so far: MIN_GHOST_DISTANCE: 5	 MAX_POWER_PILL_DISTANCE: 35	 POWER_PILL_WALK_AWAY_DISTANCE: 9
Generation: 22	 AvgFitness: 1425.56	 MinFitness: 130.0	 MaxFitness: 7880.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 71	 MAX_POWER_PILL_DISTANCE: 96	 POWER_PILL_WALK_AWAY_DISTANCE: 43
	Best performing gene so far: MIN_GHOST_DISTANCE: 41	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 54
Generation: 23	 AvgFitness: 1412.04	 MinFitness: 130.0	 MaxFitness: 8700.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 71	 MAX_POWER_PILL_DISTANCE: 79	 POWER_PILL_WALK_AWAY_DISTANCE: 53
	Best performing gene so far: MIN_GHOST_DISTANCE: 68	 MAX_POWER_PILL_DISTANCE: 10	 POWER_PILL_WALK_AWAY_DISTANCE: 43
Generation: 24	 AvgFitness: 1467.02	 MinFitness: 90.0	 MaxFitness: 9080.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 6	 MAX_POWER_PILL_DISTANCE: 82	 POWER_PILL_WALK_AWAY_DISTANCE: 36
	Best performing gene so far: MIN_GHOST_DISTANCE: 41	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 54
Generation: 25	 AvgFitness: 1441.9	 MinFitness: 130.0	 MaxFitness: 7330.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 73	 MAX_POWER_PILL_DISTANCE: 96	 POWER_PILL_WALK_AWAY_DISTANCE: 44
	Best performing gene so far: MIN_GHOST_DISTANCE: 41	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 54
Generation: 26	 AvgFitness: 1430.66	 MinFitness: 130.0	 MaxFitness: 9020.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 96	 MAX_POWER_PILL_DISTANCE: 65	 POWER_PILL_WALK_AWAY_DISTANCE: 36
	Best performing gene so far: MIN_GHOST_DISTANCE: 12	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 73
Generation: 27	 AvgFitness: 1426.22	 MinFitness: 130.0	 MaxFitness: 8420.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 63	 MAX_POWER_PILL_DISTANCE: 74	 POWER_PILL_WALK_AWAY_DISTANCE: 26
	Best performing gene so far: MIN_GHOST_DISTANCE: 4	 MAX_POWER_PILL_DISTANCE: 14	 POWER_PILL_WALK_AWAY_DISTANCE: 67
Generation: 28	 AvgFitness: 1431.52	 MinFitness: 130.0	 MaxFitness: 7930.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 72	 MAX_POWER_PILL_DISTANCE: 73	 POWER_PILL_WALK_AWAY_DISTANCE: 51
	Best performing gene so far: MIN_GHOST_DISTANCE: 41	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 54
Generation: 29	 AvgFitness: 1329.88	 MinFitness: 140.0	 MaxFitness: 5840.0
